Источник,Комнатность,Этаж,Вид,Площадь_диапазон,Количество_квартир,Мин_стоимость,Макс_стоимость,Средняя_стоимость
Друг,1к,не первый,на улицу,30-40 м²,180,3130250,5755200,4818255
Друг,2к,не первый,во двор,40-50 м²,89,4403760,7115680,6133059
Друг,2к,не первый,во двор,50-60 м²,90,4444000,7221500,6472136
Друг,2к,не первый,на улицу,50-60 м²,90,4557520,7405970,6873396
Все конкуренты,1к,не первый,во двор,30-40 м²,3,6137000,6313800,6195933
Все конкуренты,1к,не первый,во двор,40-50 м²,20,6637950,8350000,7303365
Все конкуренты,1к,не первый,во двор,50-60 м²,21,8437800,15240000,10512309
Все конкуренты,1к,не первый,во двор,60-70 м²,10,9042800,11700000,10269560
Все конкуренты,1к,не первый,на улицу,30-40 м²,33,5731500,8938800,7113928
Все конкуренты,1к,не первый,на улицу,40-50 м²,112,6016050,12622500,7780040
Все конкуренты,1к,не первый,на улицу,50-60 м²,59,8058000,14504000,10345293
Все конкуренты,1к,не первый,на улицу,60-70 м²,99,8816000,16874000,10699033
Все конкуренты,2к,не первый,во двор,50-60 м²,2,9702000,10256400,9979200
Все конкуренты,2к,не первый,во двор,60-70 м²,21,9541000,12610650,11531300
Все конкуренты,2к,не первый,во двор,70-80 м²,7,10402000,12243000,11524200
Все конкуренты,2к,не первый,во двор,80-90 м²,10,12544000,19803000,15633490
Все конкуренты,2к,не первый,на улицу,50-60 м²,5,8124350,12236000,10954750
Все конкуренты,2к,не первый,на улицу,60-70 м²,60,9343600,14613900,11073530
Все конкуренты,2к,не первый,на улицу,70-80 м²,37,9792550,15006000,12295993
Все конкуренты,2к,не первый,на улицу,80-90 м²,25,11858000,15433600,13083494
Все конкуренты,2к,не первый,на улицу,90-100 м²,28,12280800,16257500,13760039
Все конкуренты,2к,не первый,на улицу,100-110 м²,8,13581000,16615500,14901912
