Этаж,Комнатность,Вид из окон,Стоимость,Общая площадь (м.кв.)
1,1к,На улицу,11174425,35.8
1,1к,На улицу,11178206,35.9
13,1к,На улицу,12760799,36.7
2,1к,На улицу,11410546,36.9
2,1к,На улицу,11441402,37.2
1,1к,На улицу,9544255,38.3
9,2к,На улицу,17323048,56.7
10,3к,На улицу,17851867,57.4
6,2к,На улицу,19527283,60.6
5,3к,На улицу,19847599,61.1
13,2к,На улицу,19250379,62.6
10,2к,На улицу,18642418,62.6
8,2к,На улицу,18588583,62.6
12,2к,На улицу,19373385,63
13,3к,На улицу,20767402,65.5
11,3к,На улицу,20105511,65.5
13,4к,На улицу,24071584,90.6
12,4к,На улицу,24071584,90.6
